product_id,product,series,category,sales_price,cost_price,launch_date,discontinued,product_sku
1,GTX Basic,GTX,Hardware,550,330,23-12-2015,No,SKU-0001
2,GTX Pro,GTX,Hardware,4821,2700,13-02-2018, No,SKU-0002
3,MG Special,MG,SaaS,55,12,08-10-2021,No,SKU-0003
4,MG Advanced,MG,SaaS,3393,900,26-02-2017,No,SKU-0004
5,GTX Plus Pro,GTX,Hardware,5482,3100,25-02-2019,No,SKU-0005
6,GTX Plus Basic,GTX,Hardware,1096,600,06-03-2022,No,SKU-0006
7,GTK 500,GTK,Bundle,26768,14000,12-05-2021,No,SKU-0007
8,GTX Elite,GTX,Hardware,8999,5000,22-07-2021,No,SKU-0008
9,MG Pro,MG,SaaS,7250,2000,19-08-2022,No,SKU-0009
10,GTK 1000,GTK, Bundle,45000,24000,28-12-2017,No,SKU-0010
11,GTK 250,NULL,Bundle,12500,6800,11-03-2016,No,SKU-0011
12,MG Lite,MG,SaaS,299,60,20-08-2018,No,SKU-0012
13,GTX Ultra,GTX,Hardware,15000,8500,11-10-2015,No,SKU-0013
